"Symbol","Description","Product Type","OneSource List","Transaction Fee","Select List","Schwab Social Funds List","Net Expense Ratio","Gross Expense Ratio","Inception Date","Monthly NAV Return (1 year)","Monthly NAV Return (5 year)","Monthly NAV Return (10 year)","Monthly NAV Return (Since Inception)","Monthly Market Return (1 year)","Monthly Market Return (5 year)","Monthly Market Return (10 year)","Monthly Market Return (Since Inception)","Monthly Performance as of","Quarterly NAV Return (1 year)","Quarterly NAV Return (5 year)","Quarterly NAV Return (10 year)","Quarterly NAV Return (Since Inception)","Quarterly Market Return (1 year)","Quarterly Market Return (5 year)","Quarterly Market Return (10 year)","Quarterly Market Return (Since Inception)","Quarterly Performance as of","Morningstar Category","Morningstar Overall","Morningstar 3 Year","Morningstar 5 Year","Morningstar 10 Year","Ranking as of"
"VSGX","Vanguard ESG International Stock ETF","ETF","--","--"," Select List","Yes","0.10%","0.10%","09/18/2018","+12.97%","+9.42%","--","+5.60%","+12.73%","+9.41%","--","+5.20%","04/30/2025","+5.97%","+10.40%","--","+5.12%","+5.89%","+10.38%","--","+4.80%","03/31/2025","Foreign Large Blend","2 stars out of 657 funds","2 stars out of 657 funds","2 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"SCHE","Schwab Emerging Markets Equity ETF™","ETF","--","--"," Select List","No","0.11%","0.11%","01/14/2010","+10.80%","+7.21%","+3.40%","+3.25%","+11.73%","+7.60%","+3.37%","+3.14%","04/30/2025","+11.82%","+8.97%","+4.11%","+3.22%","+12.41%","+9.04%","+4.08%","+3.14%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","3 stars out of 722 funds","3 stars out of 639 funds","3 stars out of 440 funds","04/30/2025"
"SCHC","Schwab International Small-Cap Equity ETF™","ETF","--","--"," Select List","No","0.11%","0.11%","01/14/2010","+12.41%","+9.57%","+4.46%","+5.49%","+13.19%","+9.74%","+4.47%","+5.35%","04/30/2025","+3.67%","+10.92%","+4.46%","+5.13%","+3.88%","+10.88%","+4.42%","+5.02%","03/31/2025","Foreign Small/Mid Blend","2 stars out of 88 funds","2 stars out of 88 funds","2 stars out of 80 funds","2 stars out of 50 funds","04/30/2025"
"EMCS","Xtrackers MSCI Emerging Markets Climate Selection ETF","ETF","--","--"," Select List","Yes","0.15%","0.15%","12/04/2018","+14.04%","+5.62%","--","+3.81%","+14.32%","+5.77%","--","+4.30%","04/30/2025","+14.81%","+7.58%","--","+3.83%","+15.70%","+7.70%","--","+4.51%","03/31/2025","Diversified Emerging Mkts","2 stars out of 722 funds","2 stars out of 722 funds","2 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"FIVA","Fidelity International Value Factor ETF","ETF","--","--"," Select List","No","0.18%","0.18%","01/16/2018","+13.33%","+13.55%","--","+4.96%","+13.72%","+13.57%","--","+4.76%","04/30/2025","+7.93%","+13.88%","--","+4.44%","+8.41%","+13.87%","--","+4.32%","03/31/2025","Foreign Large Value","3 stars out of 337 funds","3 stars out of 337 funds","3 stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"FNDF","Schwab Fundamental International Equity ETF","ETF","--","--"," Select List","No","0.25%","0.25%","08/15/2013","+11.00%","+14.48%","+6.08%","+6.28%","+11.30%","+14.64%","+6.07%","+6.27%","04/30/2025","+5.26%","+14.98%","+6.19%","+5.99%","+5.46%","+15.13%","+6.21%","+6.05%","03/31/2025","Foreign Large Value","4 stars out of 337 funds","3 stars out of 337 funds","4 stars out of 312 funds","4 stars out of 222 funds","04/30/2025"
"IDHQ","Invesco S&P International Developed Quality ETF","ETF","--","--"," Select List","No","0.29%","0.29%","06/13/2007","+8.58%","+9.09%","+6.62%","+3.50%","+8.68%","+9.06%","+6.66%","+3.45%","04/30/2025","+0.56%","+9.95%","+6.59%","+3.28%","-0.04%","+10.20%","+6.42%","+3.25%","03/31/2025","Foreign Large Growth","4 stars out of 368 funds","4 stars out of 368 funds","3 stars out of 333 funds","4 stars out of 220 funds","04/30/2025"
"FNDE","Schwab Fundamental Emerging Markets Equity ETF","ETF","--","--"," Select List","No","0.39%","0.39%","08/15/2013","+11.18%","+10.86%","+5.02%","+4.77%","+11.44%","+11.24%","+4.96%","+4.72%","04/30/2025","+15.21%","+12.91%","+6.26%","+4.91%","+16.21%","+13.25%","+6.27%","+4.96%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","5 stars out of 722 funds","4 stars out of 639 funds","4 stars out of 440 funds","04/30/2025"
"FNDC","Schwab Fundamental International Small Equity ETF","ETF","--","--"," Select List","No","0.39%","0.39%","08/15/2013","+14.16%","+10.69%","+5.52%","+5.90%","+14.36%","+10.85%","+5.48%","+5.96%","04/30/2025","+5.64%","+11.66%","+5.39%","+5.45%","+5.66%","+11.89%","+5.34%","+5.56%","03/31/2025","Foreign Small/Mid Value","3 stars out of 55 funds","2 stars out of 55 funds","2 stars out of 48 funds","3 stars out of 29 funds","04/30/2025"
"PXF","Invesco RAFI Developed Markets ex-U.S. ETF","ETF","--","--"," Select List","No","0.45%","0.45%","06/25/2007","+14.10%","+14.49%","+5.79%","+3.51%","+14.29%","+14.49%","+5.76%","+3.47%","04/30/2025","+8.60%","+15.12%","+5.95%","+3.33%","+8.43%","+15.23%","+5.93%","+3.31%","03/31/2025","Foreign Large Value","4 stars out of 337 funds","3 stars out of 337 funds","4 stars out of 312 funds","4 stars out of 222 funds","04/30/2025"
"PXH","Invesco RAFI Emerging Markets ETF","ETF","--","--"," Select List","No","0.49%","0.49%","09/27/2007","+12.02%","+9.99%","+4.07%","+2.00%","+13.14%","+10.28%","+4.13%","+1.87%","04/30/2025","+16.95%","+11.83%","+5.54%","+2.11%","+16.98%","+12.08%","+5.54%","+1.98%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","5 stars out of 722 funds","4 stars out of 639 funds","3 stars out of 440 funds","04/30/2025"
"PDN","Invesco RAFI Developed Markets ex-U.S. Small-Mid ETF","ETF","--","--"," Select List","No","0.49%","0.49%","09/27/2007","+13.25%","+9.57%","+4.84%","+4.41%","+13.84%","+9.58%","+4.81%","+4.29%","04/30/2025","+5.17%","+10.49%","+4.81%","+4.11%","+5.41%","+10.72%","+4.82%","+4.02%","03/31/2025","Foreign Small/Mid Value","2 stars out of 55 funds","1 stars out of 55 funds","1 stars out of 48 funds","3 stars out of 29 funds","04/30/2025"
"VEA","Vanguard FTSE Developed Markets Index Fund ETF Shares","ETF","--","--","--","No","0.03%","0.03%","07/20/2007","+12.87%","+11.45%","+5.62%","+3.42%","+12.61%","+11.50%","+5.62%","+3.37%","04/30/2025","+4.70%","+12.17%","+5.61%","+3.19%","+4.57%","+12.13%","+5.60%","+3.16%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","3 stars out of 657 funds","3 stars out of 620 funds","3 stars out of 435 funds","04/30/2025"
"BKIE","BNY Mellon International Equity ETF","ETF","--","--","--","No","0.04%","0.04%","04/22/2020","+12.99%","+11.99%","--","+12.91%","+14.21%","+12.00%","--","+12.94%","04/30/2025","+5.33%","--","--","+12.12%","+5.64%","--","--","+12.27%","03/31/2025","Foreign Large Blend","4 stars out of 657 funds","4 stars out of 657 funds","4 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"IDEV","iShares Core MSCI International Developed Markets ETF","ETF","--","--","--","No","0.04%","0.04%","03/21/2017","+14.18%","+11.64%","--","+7.20%","+13.91%","+11.73%","--","+7.23%","04/30/2025","+6.04%","+12.35%","--","+6.73%","+5.96%","+12.38%","--","+6.79%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","3 stars out of 657 funds","3 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"VXUS","Vanguard Total International Stock Index Fund ETF Shares","ETF","--","--","--","No","0.05%","0.05%","01/26/2011","+12.24%","+10.45%","+5.04%","+4.82%","+11.97%","+10.51%","+5.02%","+4.90%","04/30/2025","+6.41%","+11.49%","+5.24%","+4.62%","+6.36%","+11.51%","+5.22%","+4.73%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","2 stars out of 657 funds","3 stars out of 620 funds","3 stars out of 435 funds","04/30/2025"
"BBIN","JPMorgan BetaBuilders International Equity ETF","ETF","--","--","--","No","0.07%","0.07%","12/03/2019","+13.42%","+11.74%","--","+7.59%","+13.38%","+11.70%","--","+7.35%","04/30/2025","+5.57%","+12.29%","--","+6.92%","+5.68%","+12.25%","--","+6.73%","03/31/2025","Foreign Large Blend","4 stars out of 657 funds","4 stars out of 657 funds","4 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"IEFA","iShares Core MSCI EAFE ETF","ETF","--","--","--","No","0.07%","0.07%","10/18/2012","+13.67%","+11.31%","+5.65%","+6.87%","+13.34%","+11.45%","+5.69%","+6.88%","04/30/2025","+5.57%","+11.89%","+5.65%","+6.56%","+5.38%","+11.93%","+5.65%","+6.59%","03/31/2025","Foreign Large Blend","4 stars out of 657 funds","3 stars out of 657 funds","3 stars out of 620 funds","4 stars out of 435 funds","04/30/2025"
"IXUS","iShares Core MSCI Total International Stock ETF","ETF","--","--","--","No","0.07%","0.07%","10/18/2012","+12.53%","+10.31%","+5.05%","+5.87%","+12.19%","+10.44%","+5.07%","+5.85%","04/30/2025","+6.45%","+11.30%","+5.24%","+5.63%","+6.25%","+11.30%","+5.21%","+5.63%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","2 stars out of 657 funds","3 stars out of 620 funds","3 stars out of 435 funds","04/30/2025"
"SPEU","SPDR® Portfolio Europe ETF","ETF","--","--","--","No","0.07%","0.07%","10/15/2002","+14.24%","+12.85%","+5.48%","+6.17%","+14.56%","+12.91%","+5.47%","+6.03%","04/30/2025","+7.12%","+13.24%","+5.50%","+5.97%","+7.84%","+13.54%","+5.54%","+5.87%","03/31/2025","Europe Stock","3 stars out of 82 funds","3 stars out of 82 funds","3 stars out of 81 funds","3 stars out of 58 funds","04/30/2025"
"VWO","Vanguard FTSE Emerging Markets Index Fund ETF Shares","ETF","--","--","--","No","0.07%","0.07%","03/04/2005","+10.31%","+7.60%","+3.28%","+5.68%","+10.75%","+7.85%","+3.30%","+5.72%","04/30/2025","+11.25%","+9.48%","+4.04%","+5.70%","+11.83%","+9.49%","+4.04%","+5.75%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","3 stars out of 722 funds","3 stars out of 639 funds","3 stars out of 440 funds","04/30/2025"
"FLEU","Franklin FTSE Eurozone ETF","ETF","--","--","--","No","0.09%","0.09%","11/02/2017","+16.74%","+14.35%","--","+8.84%","+18.82%","+14.63%","--","+8.92%","04/30/2025","+7.41%","+14.39%","--","+8.14%","+8.14%","+14.77%","--","+8.15%","03/31/2025","Europe Stock","5 stars out of 82 funds","4 stars out of 82 funds","5 stars out of 81 funds","-- stars out of 58 funds","04/30/2025"
"FLJH","Franklin FTSE Japan Hedged ETF","ETF","--","--","--","No","0.09%","0.09%","11/02/2017","+3.02%","+18.30%","--","+10.54%","+3.60%","+18.64%","--","+10.56%","04/30/2025","+2.58%","+19.28%","--","+10.58%","+3.07%","+19.92%","--","+10.75%","03/31/2025","Japan Stock","5 stars out of 36 funds","5 stars out of 36 funds","5 stars out of 31 funds","-- stars out of 23 funds","04/30/2025"
"IPAC","iShares Core MSCI Pacific ETF","ETF","--","--","--","No","0.09%","0.09%","06/10/2014","+10.88%","+8.63%","+5.08%","+5.33%","+11.12%","+8.93%","+5.10%","+5.26%","04/30/2025","+1.82%","+9.31%","+5.01%","+4.99%","+1.68%","+9.33%","+5.01%","+4.90%","03/31/2025","Diversified Pacific/Asia","5 stars out of 10 funds","5 stars out of 10 funds","5 stars out of 10 funds","4 stars out of 10 funds","04/30/2025"
"KOKU","Xtrackers MSCI Kokusai Equity ETF","ETF","--","--","--","No","0.09%","0.09%","04/07/2020","+12.73%","+14.69%","--","+16.38%","+11.97%","+14.53%","--","+15.61%","04/30/2025","+7.92%","--","--","+16.51%","+8.21%","--","--","+15.97%","03/31/2025","Global Large-Stock Blend","5 stars out of 312 funds","4 stars out of 312 funds","5 stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"BBEU","JPMorgan BetaBuilders Europe ETF","ETF","--","--","--","No","0.09%","0.09%","06/15/2018","+15.24%","+13.33%","--","+7.13%","+14.86%","+13.41%","--","+7.13%","04/30/2025","+8.25%","+13.92%","--","+6.62%","+8.21%","+13.78%","--","+6.66%","03/31/2025","Europe Stock","4 stars out of 82 funds","4 stars out of 82 funds","4 stars out of 81 funds","-- stars out of 58 funds","04/30/2025"
"FLHK","Franklin FTSE Hong Kong ETF","ETF","--","--","--","No","0.09%","0.09%","11/02/2017","+8.78%","-0.31%","--","-1.31%","+9.92%","-0.19%","--","-1.40%","04/30/2025","+14.95%","+1.26%","--","-1.17%","+14.44%","+1.38%","--","-1.23%","03/31/2025","China Region","4 stars out of 83 funds","3 stars out of 83 funds","4 stars out of 69 funds","-- stars out of 43 funds","04/30/2025"
"SPGM","SPDR® Portfolio MSCI Global Stock Market ETF","ETF","--","--","--","No","0.09%","0.09%","02/27/2012","+10.89%","+13.33%","+8.82%","+9.60%","+10.93%","+13.33%","+8.78%","+9.52%","04/30/2025","+6.71%","+15.51%","+9.05%","+9.61%","+6.73%","+15.48%","+8.86%","+9.55%","03/31/2025","Global Large-Stock Blend","4 stars out of 312 funds","3 stars out of 312 funds","4 stars out of 293 funds","4 stars out of 199 funds","04/30/2025"
"FLJP","Franklin FTSE Japan ETF","ETF","--","--","--","No","0.09%","0.09%","11/02/2017","+8.67%","+8.69%","--","+4.69%","+9.25%","+8.91%","--","+4.60%","04/30/2025","-1.09%","+8.77%","--","+4.02%","-0.79%","+9.15%","--","+4.10%","03/31/2025","Japan Stock","3 stars out of 36 funds","3 stars out of 36 funds","3 stars out of 31 funds","-- stars out of 23 funds","04/30/2025"
"IEMG","iShares Core MSCI Emerging Markets ETF","ETF","--","--","--","No","0.09%","0.09%","10/18/2012","+8.38%","+7.10%","+3.17%","+3.35%","+8.20%","+7.31%","+3.16%","+3.31%","04/30/2025","+7.61%","+8.78%","+3.86%","+3.31%","+7.90%","+8.87%","+3.84%","+3.30%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","3 stars out of 722 funds","3 stars out of 639 funds","3 stars out of 440 funds","04/30/2025"
"IEUR","iShares Core MSCI Europe ETF","ETF","--","--","--","No","0.09%","0.09%","06/10/2014","+14.98%","+12.84%","+5.94%","+5.00%","+14.62%","+12.96%","+5.92%","+5.01%","04/30/2025","+7.55%","+13.35%","+5.97%","+4.63%","+7.50%","+13.48%","+5.98%","+4.67%","03/31/2025","Europe Stock","3 stars out of 82 funds","3 stars out of 82 funds","3 stars out of 81 funds","3 stars out of 58 funds","04/30/2025"
"FLAU","Franklin FTSE Australia ETF","ETF","--","--","--","No","0.09%","0.09%","11/02/2017","+8.01%","+12.10%","--","+5.98%","+9.49%","+12.28%","--","+6.02%","04/30/2025","-2.25%","+14.06%","--","+5.15%","-0.93%","+13.82%","--","+5.36%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"FLCA","Franklin FTSE Canada ETF","ETF","--","--","--","No","0.09%","0.09%","11/02/2017","+18.51%","+15.03%","--","+8.62%","+18.59%","+15.05%","--","+8.45%","04/30/2025","+9.67%","+16.53%","--","+8.12%","+10.10%","+16.44%","--","+7.98%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"FLGB","Franklin FTSE United Kingdom ETF","ETF","--","--","--","No","0.09%","0.09%","11/02/2017","+15.37%","+13.09%","--","+5.93%","+15.24%","+13.14%","--","+5.77%","04/30/2025","+14.06%","+13.79%","--","+5.62%","+14.57%","+14.22%","--","+5.60%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"FLGR","Franklin FTSE Germany ETF","ETF","--","--","--","No","0.09%","0.09%","11/02/2017","+33.50%","+14.42%","--","+5.41%","+33.99%","+14.57%","--","+5.48%","04/30/2025","+19.56%","+14.88%","--","+4.44%","+20.33%","+15.30%","--","+4.59%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"FLKR","Franklin FTSE South Korea ETF","ETF","--","--","--","No","0.09%","0.09%","11/02/2017","-8.16%","+4.19%","--","-1.31%","-7.34%","+4.19%","--","-1.43%","04/30/2025","-17.50%","+4.89%","--","-2.05%","-17.01%","+5.00%","--","-2.04%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"FLSW","Franklin FTSE Switzerland ETF","ETF","--","--","--","No","0.09%","0.09%","02/06/2018","+21.42%","+10.25%","--","+8.85%","+21.56%","+10.29%","--","+8.66%","04/30/2025","+10.22%","+10.18%","--","+8.17%","+10.90%","+10.42%","--","+8.10%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"KLMN","Invesco MSCI North America Climate ETF","ETF","--","--","--","Yes","0.09%","0.09%","12/09/2024","--","--","--","-7.66%","--","--","--","-8.28%","04/30/2025","--","--","--","-7.18%","--","--","--","-5.64%","03/31/2025","Global Large-Stock Blend","-- stars out of 312 funds","-- stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"VIGI","Vanguard International Dividend Appreciation Index Fund ETF Shares","ETF","--","--","--","No","0.10%","0.10%","02/25/2016","+12.41%","+9.90%","--","+8.69%","+12.17%","+9.95%","--","+8.67%","04/30/2025","+3.73%","+10.55%","--","+8.26%","+3.75%","+10.53%","--","+8.28%","03/31/2025","Foreign Large Growth","4 stars out of 368 funds","3 stars out of 368 funds","4 stars out of 333 funds","-- stars out of 220 funds","04/30/2025"
"KLMT","Invesco MSCI Global Climate 500 ETF","ETF","--","--","--","Yes","0.10%","0.10%","06/26/2024","--","--","--","+4.69%","--","--","--","-6.20%","04/30/2025","--","--","--","+4.05%","--","--","--","+6.91%","03/31/2025","Global Large-Stock Blend","-- stars out of 312 funds","-- stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"BKEM","BNY Mellon Emerging Markets Equity ETF","ETF","--","--","--","No","0.11%","0.11%","04/22/2020","+7.88%","+5.97%","--","+6.72%","+8.56%","+5.95%","--","+6.57%","04/30/2025","+7.23%","--","--","+6.58%","+8.36%","--","--","+6.80%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","2 stars out of 722 funds","3 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"DIVI","Franklin International Core Dividend Tilt Index ETF","ETF","--","--","--","No","0.11%","0.11%","06/01/2016","+12.49%","+12.94%","--","+8.96%","+13.21%","+13.26%","--","+8.76%","04/30/2025","+5.24%","+12.92%","--","+8.50%","+5.67%","+13.21%","--","+8.40%","03/31/2025","Foreign Large Value","3 stars out of 337 funds","3 stars out of 337 funds","3 stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"DMXF","iShares ESG Advanced MSCI EAFE Index ETF","ETF","--","--","--","Yes","0.12%","0.12%","06/16/2020","+10.55%","--","--","+8.75%","+10.04%","--","--","+8.73%","04/30/2025","+1.31%","--","--","+7.91%","+1.63%","--","--","+7.99%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","3 stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"FEDM","FlexShares® ESG & Climate Developed Markets ex-US Core Index Fund","ETF","--","--","--","Yes","0.12%","0.14%","09/20/2021","+11.46%","--","--","+4.10%","+11.85%","--","--","+4.12%","04/30/2025","+3.95%","--","--","+2.81%","+4.25%","--","--","+3.01%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","3 stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"FLEE","Franklin FTSE Europe ETF","ETF","--","--","--","No","0.12%","0.12%","11/02/2017","+14.30%","+13.14%","--","+6.48%","+16.40%","+13.72%","--","+6.62%","04/30/2025","+7.31%","+13.52%","--","+5.92%","+7.93%","+13.64%","--","+5.97%","03/31/2025","Europe Stock","3 stars out of 82 funds","4 stars out of 82 funds","3 stars out of 81 funds","-- stars out of 58 funds","04/30/2025"
"NZAC","SPDR® MSCI ACWI Climate Paris Aligned ETF","ETF","--","--","--","Yes","0.12%","0.12%","11/25/2014","+12.17%","+12.56%","+8.55%","+8.52%","+11.88%","+12.58%","+8.52%","+8.46%","04/30/2025","+6.41%","+14.52%","+8.70%","+8.43%","+6.64%","+14.57%","+8.69%","+8.40%","03/31/2025","Global Large-Stock Blend","3 stars out of 312 funds","3 stars out of 312 funds","3 stars out of 293 funds","3 stars out of 199 funds","04/30/2025"
"QLVD","FlexShares Developed Markets ex-US Quality Low Volatility Index Fund","ETF","--","--","--","No","0.12%","0.14%","07/15/2019","+19.76%","+8.57%","--","+6.11%","+20.41%","+8.71%","--","+6.22%","04/30/2025","+11.37%","+8.74%","--","+5.22%","+11.26%","+8.76%","--","+5.29%","03/31/2025","Foreign Large Blend","2 stars out of 657 funds","3 stars out of 657 funds","2 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"PABD","iShares Paris-Aligned Climate MSCI World Ex USA ETF","ETF","--","--","--","Yes","0.12%","0.12%","01/17/2024","+14.60%","--","--","+14.67%","+14.33%","--","--","+14.76%","04/30/2025","+5.00%","--","--","+11.07%","+4.91%","--","--","+11.39%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"EASG","Xtrackers MSCI EAFE Selection Equity ETF","ETF","--","--","--","Yes","0.14%","0.14%","09/05/2018","+7.65%","+9.91%","--","+6.31%","+8.57%","+10.14%","--","+6.37%","04/30/2025","+1.24%","+10.35%","--","+5.70%","+1.29%","+10.52%","--","+5.82%","03/31/2025","Foreign Large Blend","2 stars out of 657 funds","2 stars out of 657 funds","2 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"EWJV","iShares MSCI Japan Value ETF","ETF","--","--","--","No","0.15%","0.15%","03/05/2019","+11.66%","+12.91%","--","+8.87%","+11.68%","+13.12%","--","+8.98%","04/30/2025","+4.50%","+13.20%","--","+8.42%","+4.26%","+13.56%","--","+8.55%","03/31/2025","Japan Stock","4 stars out of 36 funds","4 stars out of 36 funds","4 stars out of 31 funds","-- stars out of 23 funds","04/30/2025"
